%1. Title: States in the US
@RELATION USStates

@ATTRIBUTE alphabeticalRank NUMERIC
@ATTRIBUTE gdp NUMERIC
@ATTRIBUTE population NUMERIC
@ATTRIBUTE populationDensity NUMERIC
@ATTRIBUTE yearOfStatehood NUMERIC
@ATTRIBUTE meanElevation NUMERIC
@ATTRIBUTE recordHighTemp NUMERIC
@ATTRIBUTE recordLowTemp NUMERIC
@ATTRIBUTE perCapitaIncome NUMERIC
@ATTRIBUTE totalArea NUMERIC
@ATTRIBUTE class {Northeast,West,Midwest,South}


@DATA
1,209382.00,4863300,37.00,1819.00,152.00,44.00,-33,23606.00,135767.00,South
2,54256.00,741894,0.50,1959.00,579.00,38.00,-62,33062.00,1723337.00,West
3,298204.00,6931071,23.20,1912.00,1250.00,53.00,-40,25715.00,295234.00,West
4,123424.00,2988248,22.10,1836.00,198.00,49.00,-34,22883.00,137732.00,South
5,2448467.00,39250017,97.00,1850.00,884.00,57.00,-43,30441.00,423967.00,West
6,318600.00,5540545,20.30,1876.00,2073.00,46.00,-52,32357.00,269601.00,West
7,262212.00,3576452,286.30,1788.00,152.00,41.00,-38,39373.00,14357.00,Northeast
8,66150.00,952065,187.40,1787.00,18.00,43.00,-27,30488.00,6446.00,Northeast
9,893189.00,20612439,145.90,1845.00,30.00,43.00,-19,26582.00,170312.00,South
10,501241.00,10310371,68.60,1788.00,183.00,44.00,-27,25615.00,153910.00,South
11,79595.00,1428557,86.10,1959.00,924.00,37.00,-9,29736.00,28313.00,West
12,65202.00,1683140,7.70,1890.00,1524.00,48.00,-51,23938.00,216443.00,West
13,771896.00,12801539,89.40,1818.00,183.00,47.00,-38,30417.00,149995.00,Midwest
14,331126.00,6633053,71.40,1816.00,213.00,47.00,-38,25140.00,94326.00,Midwest
15,171532.00,3134693,21.60,1846.00,335.00,48.00,-44,28361.00,145746.00,Midwest
16,149090.00,2907289,13.70,1861.00,610.00,49.00,-40,27870.00,213100.00,Midwest
17,194578.00,4436974,43.20,1792.00,229.00,46.00,-38,23684.00,104656.00,South
18,253517.00,4681666,41.70,1812.00,30.00,46.00,-27,24800.00,135659.00,South
19,55137.00,1331479,16.60,1820.00,183.00,41.00,-45,27978.00,91633.00,Northeast
20,365209.00,6016447,238.90,1799.00,107.00,43.00,-40,36338.00,32131.00,South
21,478941.00,6811779,336.30,1788.00,152.00,42.00,-40,36593.00,27336.00,Northeast
22,468029.00,9928301,67.80,1837.00,274.00,44.00,-46,26613.00,250487.00,Midwest
23,334780.00,5519952,26.60,1858.00,366.00,46.00,-51,32638.00,225163.00,Midwest
24,106880.00,2988726,24.60,1817.00,91.00,46.00,-28,21036.00,125438.00,South
25,290713.00,6093000,34.20,1821.00,244.00,48.00,-40,26126.00,180540.00,South
26,45799.00,1042520,2.70,1889.00,1036.00,47.00,-57,25989.00,380831.00,West
27,112208.00,1907116,9.50,1867.00,792.00,48.00,-44,27446.00,200330.00,Midwest
28,141204.00,2940058,10.20,1864.00,1676.00,52.00,-46,25773.00,286380.00,West
29,71632.00,1334795,57.40,1788.00,305.00,41.00,-44,34691.00,24214.00,Northeast
30,579379.00,8944469,467.20,1787.00,76.00,43.00,-37,37288.00,22591.00,Northeast
31,90810.00,2081015,6.60,1912.00,1737.00,50.00,-46,23683.00,314917.00,West
32,1455568.00,19745289,162.20,1788.00,305.00,42.00,-46,33095.00,141297.00,Northeast
33,509718.00,10146788,79.80,1789.00,213.00,43.00,-37,25774.00,139391.00,South
34,53686.00,757952,4.20,1889.00,579.00,49.00,-51,33071.00,183108.00,Midwest
35,599093.00,11614373,109.70,1803.00,259.00,45.00,-39,26937.00,116098.00,Midwest
36,179835.00,3923561,22.00,1907.00,396.00,49.00,-35,25229.00,181037.00,South
37,228120.00,4093465,16.20,1859.00,1006.00,47.00,-48,27646.00,254799.00,West
38,684313.00,12784227,110.50,1787.00,335.00,44.00,-41,29220.00,119280.00,Northeast
39,56323.00,1056426,394.40,1790.00,107.00,40.00,-34,30830.00,4001.00,Northeast
40,199256.00,4961119,62.90,1788.00,107.00,45.00,-30,24596.00,82933.00,South
41,45415.00,865454,4.40,1889.00,671.00,49.00,-50,26959.00,199729.00,Midwest
42,310276.00,6651194,61.80,1796.00,274.00,45.00,-36,24922.00,109153.00,South
43,1639375.00,27862596,40.60,1845.00,518.00,49.00,-31,27125.00,695662.00,South
44,148225.00,3051217,14.10,1896.00,1859.00,47.00,-56,24877.00,219882.00,West
45,29750.00,624594,26.20,1791.00,305.00,41.00,-46,29178.00,24906.00,Northeast
46,480876.00,8411808,82.00,1788.00,290.00,43.00,-34,34052.00,110787.00,South
47,449404.00,7288000,41.70,1889.00,518.00,48.00,-44,31841.00,184661.00,West
48,71123.00,1831102,29.60,1863.00,457.00,44.00,-38,22714.00,62756.00,South
49,300699.00,5778708,41.20,1848.00,320.00,46.00,-48,28213.00,169635.00,Midwest
50,40170.00,585501,2.30,1890.00,2042.00,46.00,-53,29698.00,253335.00,West
